date,actual,n_train,Naive: last value,Naive: 3m avg,Naive: 12m avg,OLS,Ridge(1.0),Ridge(10),ElasticNetCV,"RF(300,d6)","GBM(200,d3)","XGB(300,d4)"
2020-05-01,2614.0,121,262.0,208.66666666666666,185.5,7485.25626489209,2223.649323554649,2740.1144688287395,185.87603305785123,189.3693247597592,428.64060841414266,314.55823
2020-06-01,4631.0,121,262.0,208.66666666666666,185.5,3844.4621834853256,1791.4737431420922,2006.399056966654,185.87603305785123,186.1210733152732,385.982394869693,310.2532
2020-07-01,1584.0,121,262.0,208.66666666666666,185.5,2191.358778187025,471.73935325219963,1051.3390633838603,185.87603305785123,197.44074064663337,319.49205601164357,278.19894
2020-08-01,1566.0,121,262.0,208.66666666666666,185.5,4339.673791674838,1072.9738887667954,421.76891062728885,185.87603305785123,167.3251356726829,244.05779704806932,291.14514
2020-09-01,949.0,121,262.0,208.66666666666666,185.5,4160.614313513701,1587.2416098015863,864.2201774294969,185.87603305785123,158.99525592644952,149.56901921815168,220.20708
2020-10-01,690.0,121,262.0,208.66666666666666,185.5,3659.4666084597498,2047.0567953138857,1630.2673361888117,185.87603305785123,174.54994151440474,122.37130216043985,250.48242
2020-11-01,273.0,121,262.0,208.66666666666666,185.5,343.98839552908703,-1491.6950035599762,-575.8535929205364,185.87603305785123,166.8186780407822,240.48249895317693,258.22845
2020-12-01,-185.0,121,262.0,208.66666666666666,185.5,282.27193215129876,-1205.612856366581,-327.2887244268296,185.87603305785123,168.46666623054608,227.59906173750048,259.1369
2021-01-01,315.0,121,262.0,208.66666666666666,185.5,639.7650204298726,-655.181123036607,24.767497670887053,185.87603305785123,162.3773613340512,213.10167657674347,279.6236
2021-02-01,517.0,122,315.0,271.3333333333333,192.75,211.3430446133149,94.56634152826003,189.23761984765412,186.9344262295082,214.39071243466884,208.13031636168697,262.1541
2021-03-01,852.0,123,517.0,364.6666666666667,211.16666666666666,764.4310001151657,498.5799402962934,416.17773842116924,191.50574429728988,316.95086635534574,335.7315161532456,377.2833
2021-04-01,355.0,124,852.0,561.3333333333334,279.9166666666667,1028.901170429217,1054.3279641462757,767.2049157381905,194.95967741935485,512.146141457317,544.9119510990424,528.2766
2021-05-01,478.0,125,355.0,574.6666666666666,291.1666666666667,-2.86182337957797,-63.535572616269036,283.4057719097479,196.24,273.3206211415339,223.83127636319537,327.1576
2021-06-01,755.0,126,478.0,561.6666666666666,322.75,-568.0354910422275,244.7268026494587,295.8952041620815,249.6558983976551,334.5731356095945,488.4768331797641,441.44943
2021-07-01,942.0,127,755.0,529.3333333333334,366.3333333333333,649.6816684238263,1092.1225861339465,885.5051031462477,395.1119283558843,475.7623871992637,529.9871688917685,592.6118
2021-08-01,552.0,128,942.0,725.0,428.5,437.99525336518025,670.3758876748536,674.0662824189635,508.0161539825798,625.7862498534705,664.2796035487373,667.33856
2021-09-01,457.0,129,552.0,749.6666666666666,466.5833333333333,623.6847374450485,632.7996133612078,587.7718437483738,490.3766742500079,614.0746351939887,530.1242951582863,594.9813
2021-10-01,801.0,130,457.0,650.3333333333334,487.4166666666667,799.6034434114341,616.7383476176144,575.3023500685466,508.33805298407435,619.479095146871,576.4686433370879,607.83966
2021-11-01,658.0,131,801.0,603.3333333333334,543.5833333333334,992.5648879776841,880.4635897212078,864.4796208680867,621.1709655151129,685.6353333333334,818.8724027756076,689.317
2021-12-01,586.0,132,658.0,638.6666666666666,578.6666666666666,714.8391377594248,613.9047808094133,639.6242741328135,596.24822613173,620.152,567.7078832088786,600.0214
2022-01-01,190.0,133,586.0,681.6666666666666,605.6666666666666,476.93184709644606,532.7456382776495,523.6316975099694,522.562387593336,576.8233333333334,458.8843128645,502.587
2022-02-01,819.0,134,190.0,478.0,595.25,475.84816519332594,477.7384948359729,476.5603845537585,457.533476348883,408.3854391362581,251.67344917385813,350.11804
2022-03-01,490.0,135,819.0,531.6666666666666,620.4166666666666,518.4339561455345,601.6024375354657,635.0091499711029,586.1542896530298,522.299394945863,504.4243942926657,541.48566
2022-04-01,308.0,136,490.0,499.6666666666667,590.25,855.7060566579021,679.4064993719005,611.9011846504135,550.4410273092328,419.53936432359626,427.8525578547928,488.61636
2022-05-01,301.0,137,308.0,539.0,586.3333333333334,448.8334293150264,422.4631229069731,424.2822114751692,442.7896764708387,297.9828482794184,279.42336787307374,330.76483
2022-06-01,434.0,138,301.0,366.3333333333333,571.5833333333334,251.06886789751627,312.50684623967305,307.82697065446365,335.4005232581433,254.43815082509755,304.7579678900848,241.88148
2022-07-01,714.0,139,434.0,347.6666666666667,544.8333333333334,315.6831694366824,354.439302369211,361.15991994510273,359.77414157481644,307.3213598336335,371.23206804649425,306.13684
2022-08-01,290.0,140,714.0,483.0,525.8333333333334,319.1574788864353,299.89490368118004,328.80772556086106,380.5128761913204,555.6743286983299,482.09048718664445,543.4829
2022-09-01,220.0,141,290.0,479.3333333333333,504.0,338.33541549589614,267.4484382056196,258.2489213003782,309.4695431472596,514.7180579745923,614.7768729395202,542.6043
